1,1155,1152,1091,1113
2,1041,1058,1142,1096
3,1124,1103,1086,1141
4,1159,1104,1156,1129
5,1151,1158,1009,1078
6,1036,1020,1094,1162
7,1019,1032,1140,1063
8,1016,1156,1054,1041
9,1124,1036,1104,1158
10,1063,1086,1152,1151
11,1009,1159,1016,1113
12,1091,1103,1096,1140
13,1155,1094,1019,1078
14,1054,1141,1058,1162
15,1142,1020,1129,1032
16,1156,1078,1152,1103
17,1063,1141,1036,1155
18,1151,1016,1091,1162
19,1129,1019,1086,1054
20,1140,1142,1124,1113
21,1041,1159,1158,1020
22,1009,1032,1094,1096
23,1058,1086,1104,1016
24,1158,1113,1019,1156
25,1078,1162,1129,1124
26,1058,1103,1009,1155
27,1054,1091,1032,1036
28,1096,1151,1141,1020
29,1140,1152,1041,1104
30,1142,1094,1063,1159
